Id,AvgDailySteps,AvgCalories,StepsCalsCorrelation
8053475328,14763.29,2945.81,0.96
1624580081,5743.9,1483.35,0.93
6117666160,7046.71,2261.14,0.92
5577150313,8304.43,3359.63,0.92
1844505072,2580.06,1573.48,0.92
1644430081,7282.97,2811.3,0.91
2026352035,5566.87,1540.65,0.91
2320127002,4716.87,1724.16,0.91
4020332650,2267.23,2385.81,0.9
7007744171,11323.42,2544,0.89
6962181067,9794.81,1982.03,0.89
1503960366,12116.74,1816.42,0.89
4702921684,8572.06,2965.55,0.89
4388161847,10813.94,3093.87,0.88
5553957443,8612.58,1875.68,0.88
7086361926,9371.77,2566.35,0.88
4319703577,7268.84,2037.68,0.86
6775888955,2519.69,2131.77,0.86
4445114986,4796.55,2186.19,0.86
3977333714,10984.57,1513.67,0.83
8792009665,1853.72,1962.31,0.83
8378563200,8717.71,3436.58,0.82
1927972279,916.13,2172.81,0.82
8877689391,16040.03,3420.26,0.8
2347167796,9519.67,2043.44,0.8
3372868164,6861.65,1933.1,0.8
8253242879,6482.16,1788,0.77
2022484408,11370.65,2509.97,0.76
8583815059,7198.52,2732.03,0.76
6290855005,5649.55,2599.62,0.7
4558609924,7685.13,2033.26,0.69
4057192912,3838,1973.75,0.61
2873212765,7555.77,1916.97,0.45
