Id,AvgActiveMinutes,ActivitySegment
3372868164,341.15,Low Activity
2873212765,328.23,Moderately Active
7007744171,328.04,Highly Active
2022484408,313.1,Highly Active
8877689391,310.71,Highly Active
4558609924,309.06,Moderately Active
6117666160,291.96,Low Activity
6962181067,287.13,Moderately Active
2347167796,286.56,Moderately Active
1503960366,277.81,Highly Active
4388161847,272.87,Moderately Active
4702921684,268.65,Low Activity
5577150313,265.1,Highly Active
2026352035,257,Low Activity
3977333714,254.93,Moderately Active
8053475328,245.71,Highly Active
4319703577,244.68,Low Activity
5553957443,242.61,Moderately Active
6290855005,234,Low Activity
8378563200,225.03,Highly Active
4445114986,217.45,Low Activity
7086361926,211.77,Highly Active
1644430081,209.4,Low Activity
2320127002,202.13,Low Activity
8583815059,170.16,Low Activity
1624580081,167.97,Low Activity
8253242879,151.74,Moderately Active
1844505072,116.87,Low Activity
4057192912,105.25,Low Activity
8792009665,96.79,Low Activity
4020332650,87.48,Low Activity
6775888955,65.96,Moderately Active
1927972279,40.68,Low Activity
,,Low Activity
